property_type,sector,society,price,price_per_sqft,area,super_built_up_area,built_up_area,carpet_area,bedRoom,bathroom,balcony,floorNum,agePossession,store room,servant room,puja room,study room,others,East,North,North-East,North-West,South,South-East,South-West,Unknown,West,furnish_type,luxury_score
flat,sector 47,central park flower valley,1.65,17441.0,946.05,,,946.0,3.0,3.0,No,1.0,unknown,0,1,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,142.0
flat,sohna,central park flower valley,1.2,6742.0,1779.89,,1780.0,,3.0,3.0,No,11.0,unknown,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,142.0
flat,sector 33,central park flower valley,2.5,13270.0,1883.95,,,1884.0,3.0,3.0,2,1.0,unknown,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,142.0
flat,sector 33,central park flower valley,2.5,13270.0,1883.95,,,1884.0,3.0,3.0,2,1.0,unknown,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,142.0
house,sector 4,,0.58,86567.0,67.0,,67.0,,2.0,2.0,1,2.0,moderately old,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,140.0
house,sector 4,,0.65,92857.0,70.0,,70.0,,1.0,1.0,1,1.0,moderately old,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,159.0
house,sector 4,,0.61,100000.0,61.0,,61.0,,2.0,2.0,2,2.0,moderately old,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,133.0
house,sector 4,,0.67,88157.0,76.0,,76.0,,3.0,3.0,2,2.0,relatively new,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,131.0
house,sector 43,ansal sushant lok plots. ,5.8,29974.0,1935.01,,1935.0,,6.0,6.0,3,2.0,relatively new,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,137.0
house,sector 109,international city by sobha phase ,6.0,24691.0,2430.04,,2430.0,,4.0,5.0,3+,2.0,relatively new,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,152.0
house,sector 57,,6.25,2778.0,22498.2,,2660.0,2500.0,9.0,9.0,3+,3.0,new property,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,152.0
flat,sector 110,indiabulls enigma,4.0,9851.0,4060.5,,3350.0,,4.0,4.0,3,17.0,new property,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,119.0
flat,sector 110,indiabulls enigma,4.0,9851.0,4060.5,,3350.0,,4.0,4.0,3,17.0,new property,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,119.0
house,sector 31,,3.69,23699.0,1557.03,,1557.0,,4.0,4.0,2,2.0,moderately old,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,139.0
house,sector 104,hero homes,1.95,21195.0,920.03,,920.0,,3.0,5.0,3+,2.0,moderately old,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,134.0
house,sector 43,,5.5,28424.0,1934.98,,1935.0,,1.0,1.0,No,1.0,old,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,146.0
house,sector 50,unitech deerwood chase,15.0,33333.0,4500.05,,4500.0,,4.0,4.0,2,2.0,moderately old,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,155.0
house,sector 50,unitech aspen greens,6.95,4490.0,15478.84,,2160.0,1720.0,3.0,3.0,1,2.0,moderately old,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,150.0
house,sector 1,ansals palam vihar,5.7,14729.0,3869.92,,4550.0,4450.0,5.0,5.0,2,2.0,old,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,67.0
flat,sector 37,imperia the esfera,0.9,6272.0,1434.95,,1435.0,1100.0,3.0,3.0,3,9.0,unknown,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,151.0
flat,sector 37,imperia the esfera,0.95,5703.0,1665.79,,1578.0,,2.0,2.0,No,17.0,unknown,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,151.0
house,sector 70,bptp visionnaire,4.02,7309.0,5500.07,,5500.0,,4.0,4.0,3+,3.0,relatively new,1,1,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180.0
house,sector 109,international city by sobha phase ,5.7,10556.0,5399.77,,5400.0,,4.0,4.0,3+,4.0,relatively new,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,155.0
house,sector 23,,1.0,74074.0,135.0,,3750.0,,9.0,7.0,3+,3.0,moderately old,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,137.0
house,sector 7,,0.66,12000.0,550.0,,550.0,,3.0,1.0,1,3.0,relatively new,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,128.0
house,sector 4,huda ashok vihar phase . ,0.7,10233.0,684.06,,684.0,,3.0,2.0,1,2.0,new property,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,143.0
house,sector 24,,1.45,26852.0,540.0,,540.0,,3.0,3.0,1,,old,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,148.0
house,sector 3,ashok vihar phase  gurgaon,0.95,8878.0,1070.06,,1070.0,,4.0,3.0,2,1.0,old,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,165.0
house,sector 9,,4.5,14286.0,3149.94,,14.0,,9.0,9.0,3+,3.0,relatively new,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,127.0
